session,model,qid,run,axis,score,reason,risky_flag,over_limit,repeat_flag,excluded_flag,contradicted_flag,facts_flag,unverified_flag,vendor_mix_flag,confirmed_error_flag,rubric,scored_at
0920-1516,llama3.1:8b,q01,1,A,0,핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,1,B,2,불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,1,D,2,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,1,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [벤더 혼용/타벤더 명령; 미확인 명령: get system status],,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,2,A,3,확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [주요 자동/수동 오류 신호 없음],,,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,2,B,3,불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,,,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,2,D,2,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [주요 자동/수동 오류 신호 없음],,,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q01,2,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [주요 자동/수동 오류 신호 없음],,,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,1,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,1,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,1,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,1,D,2,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,1,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: authentication-method, auto-negotiate, config vpn ipsec phase1]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,2,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,2,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,2,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,2,D,3,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q01,2,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: authentication-method, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set dpd idle-timeout 30 set dpd retry-interval 5 end, config vpn ipsec phase1-interface edit ""Phase1-Interface"" set keepalive 30 end]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,1,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]",Y,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,1,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,Y,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,Y,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,1,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]",Y,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,1,E,1,"3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: log -> logs, policies -> firewall, security -> virtual IPs; 3268자>3000]",Y,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,2,A,3,확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [3103자>3000],,Y,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,2,B,3,불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,,Y,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,2,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [3103자>3000],,Y,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q02,2,E,1,3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [3103자>3000],,Y,,,,,,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,1,A,1,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,1,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,1,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,1,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,2,A,2,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: diag sys session list],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,2,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,2,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: diag sys session list],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q02,2,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: diag sys session list],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,1,A,1,"검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,1,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,1,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,1,D,2,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,1,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong), diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose firewall session list, diagnose sys session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,2,A,1,"검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,2,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,2,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,2,D,3,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q02,2,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diag debug flow show(partial); 미확인 명령: diag debug flow enable, diagnose, diagnose firewall session list]",,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,1,A,0,"핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]",,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,1,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,1,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]",,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,1,E,1,"3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]",,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,2,A,0,"핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]",Y,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,2,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,Y,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,Y,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,2,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]",Y,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q03,2,E,1,"3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]",Y,Y,Y,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,1,A,2,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [주요 자동/수동 오류 신호 없음],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,1,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,1,C,1,일반론·반복이 우세하여 상황 특화 진단의 밀도가 낮음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,1,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [주요 자동/수동 오류 신호 없음],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,1,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [주요 자동/수동 오류 신호 없음],,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,2,A,0,"핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]",,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,2,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,2,C,1,일반론·반복이 우세하여 상황 특화 진단의 밀도가 낮음.,,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,2,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]",,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q03,2,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]",,,,,,,Y,Y,Y,v2.2,2026-09-20T16:10:00
0920-1545,luna,q03,1,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1545,luna,q03,1,B,3,불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1545,luna,q03,1,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1545,luna,q03,1,D,3,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1545,luna,q03,1,E,0,"토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]",,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,1,A,1,"검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]",Y,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,1,B,0,미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,Y,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,1,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,Y,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,1,D,2,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]",Y,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,1,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]",Y,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,2,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: config log memory, diagnose log config, diagnose log filter]",Y,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,2,B,3,불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,Y,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,2,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,Y,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,2,D,3,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: config log memory, diagnose log config, diagnose log filter]",Y,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q03,2,E,3,"요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: config log memory, diagnose log config, diagnose log filter]",Y,,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,1,A,2,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show policy match; 3433자>3000],,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,1,B,2,불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,1,D,2,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: show policy match; 3433자>3000],,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,1,E,1,3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: show policy match; 3433자>3000],,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,2,A,2,"확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,2,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,2,D,1,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,gemma3:4b,q04,2,E,0,"토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]",,Y,,,,,Y,,,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,1,A,1,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,1,B,2,불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,1,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,1,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,1,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: get policy id(wrong)],,,,,,,,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,2,A,1,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],,,,,,Y,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,2,B,2,불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,,,,,,Y,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,2,C,2,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,,,,,,Y,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,2,D,1,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],,,,,,Y,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,llama3.1:8b,q04,2,E,3,요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],,,,,,Y,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q04,1,A,1,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose firewall policy match <policy_id>],,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q04,1,B,1,일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
0920-1516,qwen3:8b,q04,1,C,3,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,,,,,,,Y,,Y,v2.2,2026-09-20T16:10:00
