session,model,qid,run,chars,A,B,C,D,E,total_15,confirmed_error_flag,unverified_flag,vendor_mix_flag,risky_flag,over_limit,excluded_flag,contradicted_flag,review_recommended,key_evidence,A_reason,B_reason,C_reason,D_reason,E_reason,source_file
0920-1516,gemma3:4b,q03,1,3471,0,1,2,1,1,5,Y,Y,Y,,Y,,,Y,"벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [벤더 혼용/타벤더 명령; 미확인 명령: show storage, system clock, system logging; 3471자>3000]",responses_v3/0920-1516_q03_gemma3_4b_run1.md
0920-1516,gemma3:4b,q03,2,3638,0,1,2,1,1,5,Y,Y,Y,Y,Y,,,Y,"벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [벤더 혼용/타벤더 명령; 미확인 명령: clear logs all, firewall -> rules, system -> logging -> event log settings; 3638자>3000]",responses_v3/0920-1516_q03_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q03,1,2130,2,0,1,1,3,7,,Y,,,,,,,주요 자동/수동 오류 신호 없음,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [주요 자동/수동 오류 신호 없음],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,일반론·반복이 우세하여 상황 특화 진단의 밀도가 낮음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [주요 자동/수동 오류 신호 없음],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [주요 자동/수동 오류 신호 없음],responses_v3/0920-1516_q03_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q03,2,2191,0,0,1,1,3,5,Y,Y,Y,,,,,,"벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,일반론·반복이 우세하여 상황 특화 진단의 밀도가 낮음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [벤더 혼용/타벤더 명령; 미확인 명령: get system log level, get system log setting]",responses_v3/0920-1516_q03_llama3.1_8b_run2.md
0920-1545,luna,q03,1,2248,2,3,3,3,0,11,,Y,,,,,,Y,"미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: diagnose debug application miglogd 255, diagnose debug disable, diagnose debug reset; 토큰한도 종료]",responses_luna_v2/0920-1545_q03_luna_run1.md
0920-1516,qwen3:8b,q03,1,2134,1,0,3,2,3,9,Y,Y,,Y,,,,Y,"확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose log export, diagnose log filter 10, diagnose log filter 6]",responses_v3/0920-1516_q03_qwen3_8b_run1.md
0920-1516,qwen3:8b,q03,2,2119,2,3,3,3,3,14,,Y,,Y,,,,Y,"미확인 명령: config log memory, diagnose log config, diagnose log filter","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: config log memory, diagnose log config, diagnose log filter]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: config log memory, diagnose log config, diagnose log filter]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: config log memory, diagnose log config, diagnose log filter]",responses_v3/0920-1516_q03_qwen3_8b_run2.md
0920-1516,gemma3:4b,q04,1,3433,2,2,2,2,1,9,,Y,,,Y,,,,미확인 명령: show policy match; 3433자>3000,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show policy match; 3433자>3000],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: show policy match; 3433자>3000],3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: show policy match; 3433자>3000],responses_v3/0920-1516_q04_gemma3_4b_run1.md
0920-1516,gemma3:4b,q04,2,3528,2,1,2,1,0,6,,Y,,,Y,,,Y,"미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: set policy <policy_name> match destination address <ip_address>, set policy <policy_name> match service <service_name>, set policy <policy_name> match source address <ip_address>; 토큰한도 종료; 3528자>3000]",responses_v3/0920-1516_q04_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q04,1,1714,1,2,2,1,3,9,Y,,,,,,,,확인오류: get policy id(wrong),검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: get policy id(wrong)],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: get policy id(wrong)],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: get policy id(wrong)],responses_v3/0920-1516_q04_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q04,2,1258,1,2,2,1,3,9,Y,Y,,,,,,Y,미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: diag firewall packet-trace; 사실오류 후보: 정책 우선순위 설명],responses_v3/0920-1516_q04_llama3.1_8b_run2.md
0920-1516,qwen3:8b,q04,1,1872,1,1,3,2,3,10,Y,Y,,,,,,,확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose firewall policy match <policy_id>,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose firewall policy match <policy_id>],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose firewall policy match <policy_id>],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diagnose firewall policy match <policy_id>],responses_v3/0920-1516_q04_qwen3_8b_run1.md
0920-1516,qwen3:8b,q04,2,1913,1,1,3,1,3,9,Y,Y,,,,,,,"확인오류: diagnose firewall policy list(wrong); 미확인 명령: diag sys session list, diagnose firewall policy match <policy_id>","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diag sys session list, diagnose firewall policy match <policy_id>]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diag sys session list, diagnose firewall policy match <policy_id>]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose firewall policy list(wrong); 미확인 명령: diag sys session list, diagnose firewall policy match <policy_id>]",responses_v3/0920-1516_q04_qwen3_8b_run2.md
0920-1516,gemma3:4b,q05,1,3548,1,1,3,2,0,7,Y,Y,,Y,Y,,,,확인오류: show ha session(wrong); 미확인 명령: show interface <port_id> brief; 토큰한도 종료; 3548자>3000,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ha session(wrong); 미확인 명령: show interface <port_id> brief; 토큰한도 종료; 3548자>3000],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: show ha session(wrong); 미확인 명령: show interface <port_id> brief; 토큰한도 종료; 3548자>3000],토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [확인오류: show ha session(wrong); 미확인 명령: show interface <port_id> brief; 토큰한도 종료; 3548자>3000],responses_v3/0920-1516_q05_gemma3_4b_run1.md
0920-1516,gemma3:4b,q05,2,3481,2,1,2,2,0,7,,Y,,,Y,,,,토큰한도 종료; 3481자>3000,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [토큰한도 종료; 3481자>3000],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [토큰한도 종료; 3481자>3000],토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [토큰한도 종료; 3481자>3000],responses_v3/0920-1516_q05_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q05,1,1885,2,0,3,0,3,8,,Y,,Y,,,,,"미확인 명령: no service-module redundancy, show interface <interface_name>","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: no service-module redundancy, show interface <interface_name>]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [미확인 명령: no service-module redundancy, show interface <interface_name>]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: no service-module redundancy, show interface <interface_name>]",responses_v3/0920-1516_q05_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q05,2,1273,2,0,2,0,3,7,,Y,,,,,,Y,"미확인 명령: show ip traffic, show process cpu, show process memory","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show ip traffic, show process cpu, show process memory]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [미확인 명령: show ip traffic, show process cpu, show process memory]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: show ip traffic, show process cpu, show process memory]",responses_v3/0920-1516_q05_llama3.1_8b_run2.md
0920-1516,qwen3:8b,q05,1,1932,2,1,3,3,3,12,,Y,,,,,,,미확인 명령: show interface [interface-id] counters,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show interface [interface-id] counters],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: show interface [interface-id] counters],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: show interface [interface-id] counters],responses_v3/0920-1516_q05_qwen3_8b_run1.md
0920-1516,qwen3:8b,q05,2,1843,1,1,3,3,3,11,Y,Y,,,,,,,"확인오류: show redundancy detail(wrong); 미확인 명령: show counters, show ip traffic","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show redundancy detail(wrong); 미확인 명령: show counters, show ip traffic]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [확인오류: show redundancy detail(wrong); 미확인 명령: show counters, show ip traffic]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show redundancy detail(wrong); 미확인 명령: show counters, show ip traffic]",responses_v3/0920-1516_q05_qwen3_8b_run2.md
0920-1516,gemma3:4b,q06,1,3284,2,1,3,1,1,8,,Y,,,Y,,,,"미확인 명령: ping <NTP 서버 IP 주소>, traceroute <NTP 서버 IP 주소>; 3284자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: ping <NTP 서버 IP 주소>, traceroute <NTP 서버 IP 주소>; 3284자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: ping <NTP 서버 IP 주소>, traceroute <NTP 서버 IP 주소>; 3284자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: ping <NTP 서버 IP 주소>, traceroute <NTP 서버 IP 주소>; 3284자>3000]",responses_v3/0920-1516_q06_gemma3_4b_run1.md
